m,L,P,R,T,density,energy,pp,cno,opacity,adiabatic gradient,radiative gradient,actual gradient,regime
1e-06,6.361151690410152e-05,1.8751680772621683e+17,0.001435442701488563,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.4780462672260275,0.3985480573600896,convective
5.112191255921604e-06,0.00032519424049305706,1.8751680772621683e+17,0.0023974923700620116,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602744,0.3985480573600896,convective
9.012135394932178e-06,0.0005732756030167798,1.8751680772621683e+17,0.0029362125027230426,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602744,0.3985480573600896,convective
3.2977499675251316e-05,0.0020977487780472507,1.8751680772621683e+17,0.004537867222441227,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602733,0.3985480573600896,convective
6.188072963573296e-05,0.0039363270792615625,1.8751680772621683e+17,0.00563483373803135,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602744,0.3985480573600896,convective
0.0003009679720703425,0.01914502924294574,1.8751680772621683e+17,0.009339169656656859,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602744,0.3985480573600896,convective
0.0005217662966163747,0.033190345597202964,1.8751680772621683e+17,0.01136400257604975,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.4780462672260275,0.3985480573600896,convective
0.001787109982654314,0.11368077687110346,1.8751680772621683e+17,0.017218640756778553,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602744,0.3985480573600896,convective
0.003397995653028141,0.21615165792266305,1.8751680772621683e+17,0.02144940821701157,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602744,0.3985480573600896,convective
0.015461736000659655,0.9835444809727165,1.8751680772621683e+17,0.034932404859740834,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602744,0.3985480573600896,convective
0.027065460320225564,1.721674986677317,1.8751680772621683e+17,0.04253287563509961,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602744,0.3985480573600896,convective
0.09286073505420477,5.9070122176278375,1.8751680772621683e+17,0.06433204395979336,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602733,0.3985480573600896,convective
0.1765754748171029,11.232233801177891,1.8751680772621683e+17,0.08009312812568076,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602733,0.3985480573600896,convective
0.8363917357089745,53.204147034502235,1.8751680772621683e+17,0.13171628416509534,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602744,0.3985480573600896,convective
1.4489100056974435,92.16736331994474,1.8751680772621683e+17,0.16000842033762544,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602744,0.3985480573600896,convective
4.8933273976675915,311.271978474035,1.8751680772621683e+17,0.24114781061891336,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602733,0.3985480573600896,convective
9.335293228484089,593.8321630084599,1.8751680772621683e+17,0.30058430192040697,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602744,0.3985480573600896,convective
40.73726467790885,2591.3592006856557,1.8751680772621683e+17,0.4841052064895326,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602744,0.3985480573600896,convective
71.9358854286299,4575.9507919548,1.8751680772621683e+17,0.5903263822910512,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602733,0.3985480573600896,convective
248.90391197610506,15833.155404165002,1.8751680772621683e+17,0.8940210331576972,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602744,0.3985480573600896,convective
472.1898152398178,30036.710414072237,1.8751680772621683e+17,1.1119442137335023,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602744,0.3985480573600896,convective
2224.903341373384,141529.47650976497,1.8751680772621683e+17,1.8260068442522253,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602744,0.3985480573600896,convective
3857.090828299598,245355.39842503477,1.8751680772621683e+17,2.218272688916028,17352161.69693684,80.7149173341482,63.61151690410151,35.26410091984067,28.347415984260834,0.9212087080824208,0.3985480573600896,0.47804626722602744,0.3985480573600896,convective
